,E(p),E(p),E(p),sig_share,sig_share,sig_share,p_of_E(\Delta T),p_of_E(\Delta T),p_of_E(\Delta T)
,z,w,bs,z,w,bs,z,w,bs
Ca-d18O-0,0.234465710051,0.182354418596,0.232659333333,0.235166666667,0.305833333333,0.2615,0.0418643665103,0.0147876739502,0.0367
Ca-d18O-1,0.233785331344,0.181569099267,0.2319064,0.230833333333,0.2945,0.257333333333,0.0418643665103,0.0147876739502,0.0348
Ca-d18O-2,0.233509773083,0.180433094025,0.231688666667,0.226,0.2995,0.2535,0.0418643665103,0.0147876739502,0.0386
Ca-d18O-3,0.234437002543,0.181608443737,0.232729233333,0.236,0.3135,0.261333333333,0.0418643665103,0.0147876739502,0.0356
Ca-d18O-4,0.233677716476,0.18105464824,0.231940916667,0.233833333333,0.3075,0.261333333333,0.0418643665103,0.0147876739502,0.0314
Ca-d18O-5,0.233212997221,0.181305145899,0.231300383333,0.230333333333,0.303666666667,0.253,0.0418643665103,0.0147876739502,0.0325
Ca-d18O-6,0.233561605377,0.181371836344,0.2317476,0.228,0.305833333333,0.253,0.0418643665103,0.0147876739502,0.0372
Ca-d18O-7,0.233531254128,0.180232173761,0.231762633333,0.235,0.310166666667,0.260666666667,0.0418643665103,0.0147876739502,0.0329
Ca-d18O-8,0.234231617308,0.182539307753,0.23230685,0.2365,0.313166666667,0.262833333333,0.0418643665103,0.0147876739502,0.0343
Ca-d18O-9,0.233924020167,0.182338036855,0.2320684,0.230833333333,0.307333333333,0.257166666667,0.0418643665103,0.0147876739502,0.0347
